videoId,playlist_id,brand,title,viewCount,likeCount,commentCount,publishedAt,duration_seconds
i5qZUENQvOc,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,GEELY,Nouvelle Gamme GEELY 2024,3202,95,4,2024-05-16 21:30:07+00:00,290
ax0E2RNu4eA,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,HYUNDAI,Essai HYUNDAI Kona 2024 Maroc - تجربة قيادة المغرب,12733,140,9,2024-05-15 21:15:00+00:00,465
h3EIKSFzXpg,PLlvsaB0FDEJEJQRAErI6gWgLDr-3myio1,AUTRE / MULTI-MARQUES,AUTO HEBDO - EP74 - 10 mai 2024,1968,14,2,2024-05-10 22:15:07+00:00,371
nTIyF3Gd_54,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,RENAULT,RENAULT Symbioz 2025 - les premières infos,6353,22,1,2024-05-06 21:30:07+00:00,190
zJ7iZO3udCo,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,CUPRA,CUPRA Formentor & Leon 2025 - les premières infos,10447,23,2,2024-05-05 22:00:07+00:00,175
cRyFf2VqpfE,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,KIA,Nouveau KIA Sorento 2024 : lancement au Maroc,21720,94,5,2024-05-02 21:30:07+00:00,270
oUWq83PWh50,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,NISSAN,NISSAN Qashqai facelift 2025 - les premières infos,12896,50,8,2024-04-25 21:30:07+00:00,211
EJZPde26khc,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,CUPRA,CUPRA Formentor e-Hybrid - lancement au Maroc,7296,23,4,2024-04-24 14:15:06+00:00,296
IbnG7LU5evU,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,OPEL,OPEL Grandland 2025 - le clip officiel,7201,18,1,2024-04-24 13:53:46+00:00,50
mICHfRhbjyY,PLlvsaB0FDEJEJQRAErI6gWgLDr-3myio1,AUTRE / MULTI-MARQUES,AUTO HEBDO - EP73 - 20 avril 2024,1912,17,0,2024-04-20 11:00:06+00:00,376
ODLOQ1GWv2I,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,HYUNDAI,Nouveau HYUNDAI Kona : lancement au Maroc,6629,33,1,2024-04-18 22:20:56+00:00,87
RFd-gwjLoOs,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,PORSCHE,Nouvelle PORSCHE Panamera : lancement au Maroc,1987,18,0,2024-04-18 22:00:17+00:00,102
6axqFqbNbtg,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,ALFA ROMEO,ALFA ROMEO Junior 2025 - les premières infos,10901,20,4,2024-04-16 22:00:07+00:00,198
dRqfe4zvYjk,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,MERCEDES-BENZ,MERCEDES-Benz EQS SUV - le clip officiel,674,7,0,2024-04-15 23:04:13+00:00,82
QlFVcKWU0ps,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,RENAULT,RENAULT Captur 2025 - les premières infos,19138,52,7,2024-04-15 22:30:07+00:00,190
UaKvj8s8290,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,AUDI,Nouvel AUDI Q8 2024,7638,26,2,2024-04-14 21:34:18+00:00,99
pPc3ABmTljU,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,MG,MG Marvel-R - le clip officiel,2220,9,0,2024-04-11 22:05:53+00:00,62
NlNSd1VD9gA,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,MERCEDES-BENZ,MERCEDES-Benz Classe G 2025 - les premières infos,7539,27,5,2024-04-10 23:15:06+00:00,184
RL0TOdsRuZY,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,AUDI,AUDI Q6 e-Tron 2025 - les premières infos,10402,12,2,2024-04-10 22:15:06+00:00,212
ea2ikrNTq4U,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,CUPRA,CUPRA Formentor e-Hybrid - le clip officiel,2736,9,0,2024-04-08 23:45:03+00:00,30
N9l4QWjDzEI,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,HYUNDAI,Nouveau HYUNDAI Kona 2024 - le clip officiel,5949,11,1,2024-04-08 00:00:15+00:00,36
